Site,MedianLogRho,MedianRho,rho_T1s,rho_T10s,rho_T100s,Nperiods,Slope_mid_1_100s
SAMTEX.KXT001A_auto.tru.2008,8.424069556956592,265503075.98053005,157440784.88622683,472423899.27984136,751904559.4364104,84,0.41305477831938825
SAMTEX.KXT002A_auto.tru.2008,8.712228257569238,515499510.90369296,305517958.3907858,864413740.836295,1311131066.0151644,88,0.3414175314649098
SAMTEX.KXT003A_auto.tru.2008,8.109847872215536,128779837.34306349,86879655.25954951,200834998.4053853,278369238.13471544,84,0.2846072294347589
SAMTEX.KXT004A_auto.tru.2008,7.635005196456314,43152424.01064624,27964249.15765102,48464114.27405511,83244099.85988247,92,0.25329124099845546
SAMTEX.KXT005A_auto.tru.2008,7.66657718422048,46406325.7477305,40865351.7206224,52511512.714641735,90449475.17166185,84,0.17396798169796376
SAMTEX.KXT006A_auto.tru.2008,7.320073916412989,20896517.568751544,19881658.388949458,11141233.42481087,14817331.795544207,88,-0.06082844851837386
SAMTEX.KXT007A_auto.tru.2008,7.206430396624592,16085345.61103647,17979959.940634415,12461090.30576126,9712088.509629162,84,-0.13526036507366332
SAMTEX.KXT008A_auto.tru.2008,7.972355976602236,93833081.00555378,118208813.22787534,95540486.9988011,94223150.31209499,88,-0.024861543537575775
SAMTEX.KXT009A_auto.tru.2008,7.384609612220327,24244297.927273303,31659835.30263768,32370393.062241033,18796241.59406741,84,-0.0796892832908522
SAMTEX.KXT010A_auto.tru.2008,8.489341827965722,308561564.5699272,383723447.76440215,319072077.86337256,173386378.52456152,88,-0.11539328460085702
SAMTEX.LIM001A.2008,8.074020451443792,118582458.87428968,211883796.4301974,65475284.181682706,26178911.998037305,84,-0.4741669497992275
SAMTEX.LIM002A.2008,8.587808988105357,387087358.27287215,598961660.3092091,293497384.61598337,286060844.0277945,84,-0.1510697571799257
SAMTEX.LIM003A.2008,9.39975123569636,2510448032.504428,3706393777.3687634,2649220752.41762,2649702712.914002,88,-0.12097061022728445
SAMTEX.LIM004A.2008,8.33764631056814,217593696.7469623,486724136.9276733,265684613.34382746,190822394.53610304,88,-0.22936371927313218
SAMTEX.LIM006A.2008,9.100718458210864,1261009789.7899327,3145118331.7846975,1293332901.7818427,407767632.9545022,84,-0.4094777936066183
SAMTEX.LIM007A.2008,9.461805806559875,2896048339.043578,7540247592.24065,3908947112.766893,1292399450.411013,88,-0.3674007966698846
SAMTEX.LIM008A.2008,9.141536405823732,1385276305.3166084,3608656941.6077886,2118018653.7709558,635774238.7117172,88,-0.38070334331395633
SAMTEX.LOW001A_auto.tru.2008,8.759654733824146,574982641.6540486,2331511327.4484878,312922145.0648289,152114431.62884325,84,-0.5472932820189818
SAMTEX.LOW002A_auto.tru.2008,9.651508423115022,4482377434.560459,9340734573.251572,2594308431.3424606,571679069.5509734,84,-0.5982622792471916
SAMTEX.LOW003B_auto.tru.2008,7.843056873980711,69671774.83284415,183781477.33069053,92531125.50363813,41330299.92513206,88,-0.3639462910727004
SAMTEX.LOW004B_auto.tru.2008,7.715962021261832,51995052.52481549,106700223.13015,41131695.77003225,25707900.076895334,84,-0.33362735461804993
SAMTEX.LOW005A_auto.tru.2008,9.100640287732432,1260782835.7947414,2470424325.8143725,1135307351.4209964,768080096.2480962,84,-0.2513718587875995
SAMTEX.LOW006B_auto.tru.2008,9.297492407350887,1983774974.7495959,10234713488.765694,1269455432.5639548,482656901.84795856,84,-0.7871819892002746
SAMTEX.LOW007A_auto.tru.2008,9.151669056655656,1417976575.9875093,2914782938.299246,1765502896.3953018,629714996.4171331,88,-0.5019245387547158
SAMTEX.LOW008A_auto.tru.2008,9.781438582999106,6045588498.739135,15846177714.85385,4552074063.916477,1558504200.3539147,84,-0.6568171060062792
SAMTEX.LOW009A_auto.tru.2008,9.599351756066195,3975133843.967636,5448524958.765013,3292180910.114826,1029437048.6861073,88,-0.44840180993766704
