Site,MedianLogRho,MedianRho,rho_T1s,rho_T10s,rho_T100s,Nperiods,Lat,Lon
Central Botswana Africa,7.316699372649481,20734777.177059937,4280873.997490702,29766166.911682107,81600158.47690263,88,-22.12839444444445,24.176858333333335
Central Botswana Africa,7.316699372649481,20734777.177059937,4280873.997490702,29766166.911682107,81600158.47690263,88,-22.48900555555556,24.169469444444445
Central Botswana Africa,7.316699372649481,20734777.177059937,4280873.997490702,29766166.911682107,81600158.47690263,88,-23.142588888888888,24.283969444444445
Central Botswana Africa,7.316699372649481,20734777.177059937,4280873.997490702,29766166.911682107,81600158.47690263,88,-22.313144444444447,24.17230277777778
Central Botswana Africa,7.316699372649481,20734777.177059937,4280873.997490702,29766166.911682107,81600158.47690263,88,-22.969838888888887,24.174719444444445
Central Botswana Africa,7.316699372649481,20734777.177059937,4280873.997490702,29766166.911682107,81600158.47690263,88,-22.021838888888887,24.045580555555556
Central Botswana Africa,7.316699372649481,20734777.177059937,4280873.997490702,29766166.911682107,81600158.47690263,88,-21.6532,24.065830555555557
Central Botswana Africa,7.316699372649481,20734777.177059937,4280873.997490702,29766166.911682107,81600158.47690263,88,-21.84683888888889,23.990886111111113
Central Botswana Africa,7.316699372649481,20734777.177059937,4280873.997490702,29766166.911682107,81600158.47690263,88,-21.460366666666665,24.14474722222222
Central Botswana Africa,7.316699372649481,20734777.177059937,4280873.997490702,29766166.911682107,81600158.47690263,88,-23.317616666666662,24.43797222222222
Central Botswana Africa,7.316699372649481,20734777.177059937,4280873.997490702,29766166.911682107,81600158.47690263,88,-21.097366666666662,24.181941666666667
Central Botswana Africa,7.316699372649481,20734777.177059937,4280873.997490702,29766166.911682107,81600158.47690263,88,-21.278033333333333,24.102469444444445
Central Botswana Africa,7.316699372649481,20734777.177059937,4280873.997490702,29766166.911682107,81600158.47690263,88,-22.807144444444447,24.165416666666665
Coffiefontain South Africa,8.310300045528981,204314902.87093645,225699632.59062338,645286935.8709167,638138060.9029305,47,-27.99888888888889,26.089719444444444
Coffiefontain South Africa,8.310300045528981,204314902.87093645,225699632.59062338,645286935.8709167,638138060.9029305,47,-28.104166666666668,25.966666666666665
Coffiefontain South Africa,8.310300045528981,204314902.87093645,225699632.59062338,645286935.8709167,638138060.9029305,47,-28.37638888888889,25.650555555555552
Coffiefontain South Africa,8.310300045528981,204314902.87093645,225699632.59062338,645286935.8709167,638138060.9029305,47,-28.27545,25.809166666666663
Coffiefontain South Africa,8.310300045528981,204314902.87093645,225699632.59062338,645286935.8709167,638138060.9029305,47,-28.54888888888889,25.55027777777778
Coffiefontain South Africa,8.310300045528981,204314902.87093645,225699632.59062338,645286935.8709167,638138060.9029305,47,-28.972977777777775,25.16925277777778
Coffiefontain South Africa,8.310300045528981,204314902.87093645,225699632.59062338,645286935.8709167,638138060.9029305,47,-29.34658888888889,24.78258611111111
Coffiefontain South Africa,8.310300045528981,204314902.87093645,225699632.59062338,645286935.8709167,638138060.9029305,47,-29.22214444444444,24.87175277777778
Coffiefontain South Africa,8.310300045528981,204314902.87093645,225699632.59062338,645286935.8709167,638138060.9029305,47,-28.78795,25.273330555555553
Hardap Region Namibia Africa,7.8911554639158465,77831511.37797715,368410166.25354874,105696032.18728688,43549677.16164631,84,-24.8462,18.82702777777778
Hardap Region Namibia Africa,7.8911554639158465,77831511.37797715,368410166.25354874,105696032.18728688,43549677.16164631,84,-25.119366666666668,18.02861111111111
Hardap Region Namibia Africa,7.8911554639158465,77831511.37797715,368410166.25354874,105696032.18728688,43549677.16164631,84,-24.72545,19.24286111111111
Hardap Region Namibia Africa,7.8911554639158465,77831511.37797715,368410166.25354874,105696032.18728688,43549677.16164631,84,-25.391644444444445,16.37211111111111
Hardap Region Namibia Africa,7.8911554639158465,77831511.37797715,368410166.25354874,105696032.18728688,43549677.16164631,84,-25.13845,17.182083333333335
Hardap Region Namibia Africa,7.8911554639158465,77831511.37797715,368410166.25354874,105696032.18728688,43549677.16164631,84,-24.64228333333333,19.69025
Hardap Region Namibia Africa,7.8911554639158465,77831511.37797715,368410166.25354874,105696032.18728688,43549677.16164631,84,-25.00758888888889,18.420194444444444
Hardap Region Namibia Africa,7.8911554639158465,77831511.37797715,368410166.25354874,105696032.18728688,43549677.16164631,84,-25.155977777777775,17.37513888888889
Hardap Region Namibia Africa,7.8911554639158465,77831511.37797715,368410166.25354874,105696032.18728688,43549677.16164631,84,-25.29961666666667,17.00327777777778
Hardap Region Namibia Africa,7.8911554639158465,77831511.37797715,368410166.25354874,105696032.18728688,43549677.16164631,84,-24.60675555555556,19.943194444444444
Hardap Region Namibia Africa,7.8911554639158465,77831511.37797715,368410166.25354874,105696032.18728688,43549677.16164631,84,-25.263255555555556,16.55816666666667
Hardap Region Namibia Africa,7.8911554639158465,77831511.37797715,368410166.25354874,105696032.18728688,43549677.16164631,84,-24.92997777777778,18.62638888888889
Hardap Region Namibia Africa,7.8911554639158465,77831511.37797715,368410166.25354874,105696032.18728688,43549677.16164631,84,-25.165477777777777,17.613750000000003
Hardap Region Namibia Africa,7.8911554639158465,77831511.37797715,368410166.25354874,105696032.18728688,43549677.16164631,84,-25.15592222222222,17.808333333333334
Hardap Region Namibia Africa,7.8911554639158465,77831511.37797715,368410166.25354874,105696032.18728688,43549677.16164631,84,-25.045922222222224,18.22622222222222
Hardap Region Namibia Africa,7.8911554639158465,77831511.37797715,368410166.25354874,105696032.18728688,43549677.16164631,84,-25.259144444444445,16.78147222222222
Hardap Region Namibia Africa,7.8911554639158465,77831511.37797715,368410166.25354874,105696032.18728688,43549677.16164631,84,-24.76595,19.024305555555554
Kalahari Game Reserve Botswana Africa,8.287670518510673,193941396.51426172,122035793.7954169,270914607.897848,251207395.89043903,84,-22.385838888888888,25.047027777777775
Kalahari Game Reserve Botswana Africa,8.287670518510673,193941396.51426172,122035793.7954169,270914607.897848,251207395.89043903,84,-22.05583888888889,25.512108333333337
Kalahari Game Reserve Botswana Africa,8.287670518510673,193941396.51426172,122035793.7954169,270914607.897848,251207395.89043903,84,-22.175116666666668,25.34521944444444
Kalahari Game Reserve Botswana Africa,8.287670518510673,193941396.51426172,122035793.7954169,270914607.897848,251207395.89043903,84,-22.640394444444443,24.551358333333333
Kalahari Game Reserve Botswana Africa,8.287670518510673,193941396.51426172,122035793.7954169,270914607.897848,251207395.89043903,84,-22.510533333333335,23.83621944444444
Kalahari Game Reserve Botswana Africa,8.287670518510673,193941396.51426172,122035793.7954169,270914607.897848,251207395.89043903,84,-21.938616666666668,25.672997222222225
Kalahari Game Reserve Botswana Africa,8.287670518510673,193941396.51426172,122035793.7954169,270914607.897848,251207395.89043903,84,-22.367116666666668,23.2385
Kalahari Game Reserve Botswana Africa,8.287670518510673,193941396.51426172,122035793.7954169,270914607.897848,251207395.89043903,84,-22.472116666666665,24.866469444444444
Kalahari Game Reserve Botswana Africa,8.287670518510673,193941396.51426172,122035793.7954169,270914607.897848,251207395.89043903,84,-21.829894444444445,25.822941666666665
Kalahari Game Reserve Botswana Africa,8.287670518510673,193941396.51426172,122035793.7954169,270914607.897848,251207395.89043903,84,-22.6447,24.75638888888889
Kalahari Game Reserve Botswana Africa,8.287670518510673,193941396.51426172,122035793.7954169,270914607.897848,251207395.89043903,84,-22.27667222222222,25.204580555555555
Kalahari Game Reserve Botswana Africa,8.287670518510673,193941396.51426172,122035793.7954169,270914607.897848,251207395.89043903,84,-21.99445,21.751719444444443
Kalahari Game Reserve Botswana Africa,8.287670518510673,193941396.51426172,122035793.7954169,270914607.897848,251207395.89043903,84,-22.640866666666668,24.168277777777774
Kalahari Game Reserve Botswana Africa,8.287670518510673,193941396.51426172,122035793.7954169,270914607.897848,251207395.89043903,84,-22.370144444444445,23.43588888888889
Kalahari Game Reserve Botswana Africa,8.287670518510673,193941396.51426172,122035793.7954169,270914607.897848,251207395.89043903,84,-22.372311111111113,23.639913888888888
Kalahari Game Reserve Botswana Africa,8.287670518510673,193941396.51426172,122035793.7954169,270914607.897848,251207395.89043903,84,-22.275866666666666,22.86966388888889
Kalahari Game Reserve Botswana Africa,8.287670518510673,193941396.51426172,122035793.7954169,270914607.897848,251207395.89043903,84,-22.34331111111111,23.04866388888889
