Site,File,Skew,Is1D
"Smithfield, South Africa",SAMTEX.KXT002A_auto.tru.2008.edi,0.1638504527859684,True
"Namibia, Africa",SAMTEX.ETO018A.2008.edi,0.16399292300180882,True
"Botswana, Africa",SAMTEX.bot415.2005.edi,0.16513119805605336,True
"NE Namibia, Africa",SAMTEX.NEN020.2006.edi,0.16684007555907376,True
"Central Botswana, Africa",SAMTEX.san014.2008.edi,0.1696876788519142,True
"Botswana, Africa",SAMTEX.mof104.2005.edi,0.16995122903794607,True
"Smithfield, South Africa",SAMTEX.KXT008A_auto.tru.2008.edi,0.17057999712247576,True
"Namibia, Africa",SAMTEX.dmb008.2006.edi,0.17122149090432298,True
"Botswana, Africa",SAMTEX.bot218.2005.edi,0.17217397736235407,True
"Namibia, Africa",SAMTEX.dmb022.2006.edi,0.17237689503300546,True
"Tshane, Botswana, Africa",SAMTEX.rtzf01.2005.edi,0.17237733026205895,True
"Orapa, Botswana, Africa",SAMTEX.sso117.2005.edi,0.17276910331375125,True
"Klerksdorp, South Africa",SAMTEX.wita18.2004.edi,0.17335144355844645,True
"Windhoek, Namibia, Africa",SAMTEX.win003.2006.edi,0.17455376069326178,True
"Windhoek, Namibia, Africa",SAMTEX.win037.2006.edi,0.17466746750751724,True
"Namibia, Africa",SAMTEX.dmb014.2006.edi,0.17510895393185139,True
"Barotse Basin, Western Province, Zambia",PRIDE.ZAM16B_RH_ZAM15B.2011-2012.edi,0.1781281226760739,True
"NE Namibia, Africa",SAMTEX.NEN003.2006.edi,0.17855553030470853,True
"Zimbabwe, Africa",SAMTEX.zim125.2005.edi,0.17878845443775615,True
"Northern Namibia, Africa",SAMTEX.RAK020A.2008.edi,0.17914363365349345,True
"Kimberley, South Africa",SAMTEX.kim434.2004.edi,0.18074504598259636,True
South Africa,SAMTEX.kap061.2003.edi,0.18110402999412284,True
"Zimbabwe, Africa",SAMTEX.zim103.2005.edi,0.18118561210148845,True
"Southern Botswana, Africa",SAMTEX.rtz205.2005.edi,0.18198004550998975,True
"Kimberley, South Africa",SAMTEX.kim015.2003-2006.edi,0.182583707946706,True
"Zimbabwe, Africa",SAMTEX.zim122.2005.edi,0.18276904098504673,True
"Klerksdorp, South Africa",SAMTEX.wita34.2004.edi,0.18359938276757373,True
"Northern Namibia, Africa",SAMTEX.RAK099A.2008.edi,0.1836246951461328,True
"Kimberley, South Africa",SAMTEX.kim446.2004.edi,0.18378415491978722,True
"Okavango Lake, Botswana, Africa",SAMTEX.oka007.2006.edi,0.18481780290687883,True
"Orapa, Botswana, Africa",SAMTEX.sso113.2005.edi,0.1854569422407749,True
"Tshane, Botswana, Africa",SAMTEX.rtzfb1.2005.edi,0.1856449632301926,True
"Barotse Basin, Western Province, Zambia",PRIDE.ZAM33B_RH_ZAM32B.2011-2012.edi,0.1856614688467385,True
South Africa,SAMTEX.kap001.2003.edi,0.18623252930175788,True
"Kalahari Game Reserve, Botswana, Africa",SAMTEX.kal008.2008.edi,0.18657870361526518,True
South Africa,SAMTEX.kap008.2003.edi,0.1870251322167543,True
"Kimberley, South Africa",SAMTEX.kim439.2004.edi,0.18749967870677517,True
"Kimberley, South Africa",SAMTEX.kim012.2003-2006.edi,0.1879989582672282,True
"Botswana, Africa",SAMTEX.mof126.2005.edi,0.1886792442596735,True
"Makgadikgadi Park, Botswana, Africa",SAMTEX.mak001.2006.edi,0.18978186539450168,True
"Windhoek, Namibia, Africa",SAMTEX.win038.2006.edi,0.19117647219752626,True
"Weiveld, South Africa",SAMTEX.wita46.2005.edi,0.19124498587453945,True
"Southern Botswana, Africa",SAMTEX.rtz206.2005.edi,0.1920938654788828,True
"Barotse Basin, Western Province, Zambia",PRIDE.ZAM013A_RH_ZAM01.2011-2012.edi,0.19257176602820658,True
"Namibia, Africa",SAMTEX.dmb019.2006.edi,0.19350976939365447,True
"Smithfield, South Africa",SAMTEX.KXT007A_auto.tru.2008.edi,0.1945664704252786,True
South Africa,SAMTEX.kap072.2003.edi,0.1951299354973203,True
"NE Namibia, Africa",SAMTEX.NEN001.2006.edi,0.19538927163783196,True
"Orapa, Botswana, Africa",SAMTEX.sso118.2005.edi,0.19556691509021562,True
